Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,28S mitochondrial small ribosomal subunit,-0.7214636810486073,-4.409622864521725,0.0,0.0,0.0,31/31,28.49%,P82663;URS000044DFF6_9606;Q9Y291;Q9Y2Q9;Q9Y2R5;Q9Y2R9;Q9Y3D3;Q9Y3D5;Q9Y3D9;Q9Y676;Q9Y399;Q9NWT8;O15235;Q92665;O60783;P51398;P82650;Q96BP2;Q96EL2;Q96EY7;Q9BYN8;P82914;P82921;P82930;P82932;P82933;P82912;Q92552;P82664;P82673;P82675
prerank,Eukaryotic translation initiation factor 3 complex,-0.8875,-3.4498264674815142,0.0,0.0,0.0,13/13,11.59%,O75821;O75822;P55884;P60228;Q13347;O15371;O00303;O15372;Q14152;Q9Y262;Q9UBQ5;Q99613;Q7L2H7
prerank,MKS transition zone complex,-0.9255232400108725,-3.314495332406443,0.0,0.0,0.0,14/14,7.83%,Q9P2K1;Q9UPM9;Q9NXB0;Q5HYA8;Q6NUS6;Q6UX40;Q86X19;Q8N157;Q96GX1;Q96Q45;Q9BPU9;Q9H6L2;Q9P0N5;Q2MV58
prerank,Anaphase-promoting core complex,-0.8589290568089154,-3.204277286135693,0.0,0.0,0.0,14/14,14.46%,Q8NHZ8;Q96DE5;Q9BS18;Q13042;P30260;P60006;Q9NYG5;Q9UJX2;Q9UJX3;Q9H1A4;Q9UJX4;Q9UJX5;Q9UJX6;Q9UM13
prerank,Mitochondrial proton-transporting ATP synthase complex,-0.7500000000000001,-3.1488279683297464,0.0,0.0,0.0,21/21,25.45%,P05496;O75947;O75964;P00846;P03928;P24539;P06576;P18859;P25705;P56378;P56381;P56385;P36542;P48047;P48201;Q5VTU8;Q7Z4Y8;P56134;Q96IX5;Q06055;P30049
prerank,ESCRT-III complex,-0.9082020640956001,-3.0714661097600673,0.0,0.0,0.0,11/11,9.48%,Q9BY43;Q9H444;Q9HD42;Q9NZZ3;Q9UQN3;Q9Y3E7;Q7LBR1;Q8WUX9;Q96CF2;O43633;Q96FZ7
prerank,Nuclear pore complex,-0.5757989620322316,-3.0506512301013027,0.0,0.0,0.0,32/32,42.95%,P55735;Q96EE3;P49792;Q92621;Q8NFH5;Q8TEM1;P49790;Q8WUM0;Q9BVL2;Q9BW27;Q8WYP5;Q9UKX7;Q96HA1;Q99567;Q9BTX1;O15504;O75694;P12270;Q9NRG9;Q8NFH4;Q8NFH3;Q53GS7;Q5SRE5;P37198;P78406;Q12769;P57740;Q8N1F7;P35658;P52948-PRO_0000019929;P52948-PRO_0000019930;Q7Z3B4
prerank,Fanconi anemia ubiquitin ligase complex,-0.9457111834961999,-2.954457724236598,0.0,0.0,0.0,9/9,5.69%,O15287;Q9NPI8;Q9NW38;Q00597;Q0VG06;Q6NZ36;Q8NB91;Q9HB96;O15360
prerank,Survival motor neuron complex,-0.9082519001085777,-2.852333649281235,0.0,0.0,0.0,9/9,9.42%,O14893;Q9UHI6;P57678;Q16637;Q8TEQ6;Q8WXD5;Q9H840;Q9NWZ8;Q9Y3F4
prerank,Intraflagellar transport complex B,-0.6584171879249388,-2.758161853257766,0.0,0.0,0.0,16/16,34.47%,A0AVF1;Q9BW83;Q9P2H3;Q96LB3;Q9NQC8;Q9NWB7;Q9H7X7;Q9Y366;Q9Y547;Q9UG01;Q13099;Q8IY31;Q8N4P2;Q8TDR0;Q8WYA0;Q96AJ1
prerank,Core mediator complex,-0.6471229888191983,-2.6965909090909093,0.0,0.0,0.0,26/26,35.77%,Q9H204;Q9H944;Q9Y2X0;Q9Y3C7;Q9P086;Q9NX70;Q96RN5;Q9BTT4;Q9BUE0;Q9NPJ6;Q9NVC6;Q9NWA0;Q9ULK4;O95402;O43513;Q13503;A0JLT2;O75586;O75448;O60244;Q96HR3;Q96G25;Q71SY5;Q6P2C8;Q15648;Q15528
prerank,Kinetochore CCAN complex,-0.6331248300244764,-2.5407816349842283,0.0,0.00021512938931711494,0.001,16/16,36.99%,A8MT69;Q8N2Z9;Q9NSP4;Q7L2Z9;Q9H3R5;Q8N0S6;Q03188;Q9BS16;Q13352;Q96H22;Q92674;Q96BT3;Q5EE01;Q6IPU0;Q9BU64;Q71F23
prerank,CatSpermasome complex,-0.6919315403422982,-2.539044658306175,0.0,0.00019858097475425996,0.001,12/12,31.06%,Q9NTU4;Q8NEC5;Q96P56;Q9H7T0;Q7RTX7;A8MZ26;E9PQX1;Q2WGJ8;Q5SY80;Q6ZRH7;Q86XM0;Q86XQ3
prerank,HAUS complex,-0.8377204884667572,-2.5222548984273008,0.0,0.00018439661941466995,0.001,8/8,16.44%,O94927;Q99871;Q9BT25;Q9H6D7;Q9NVX0;Q68CZ6;Q7Z4H7;Q96CS2
prerank,Chaperonin-containing T-complex,-0.8404341926729987,-2.481436166181231,0.0,0.00017210351145369195,0.001,8/8,16.17%,P50990;P50991;P78371;Q99832;P49368;P17987;P40227;P48643
prerank,Signal recognition particle,-0.9270211611502984,-2.449932722802466,0.0,0.0001613470419878362,0.001,7/7,7.50%,Q9UHB9;URS00000478B7_9606;P49458;O76094;P09132;P37108;P61011
prerank,BBSome complex,-0.8241519674355496,-2.4265117978935837,0.0,0.0001518560395179635,0.001,8/8,17.79%,A8MTZ0;Q3SYG4;Q8IWZ6;Q8N3I7;Q8NFJ9;Q8TAM2;Q96RK4;Q9BXC9
prerank,"60S cytosolic large ribosomal subunit, striated muscle variant",0.9818930041152265,2.4066031093708644,0.0,0.0,0.0,48/48,3.09%,Q92901;P83881;P27635;P62891;P46779;P46777;P46778;P49207;P62424;P61313;P05388;P05387;P18077;Q07020;P47914;P62888;P62899;P62829;P63173;P62750;Q02543;P62910;P62913;P62917;P83731;P62906;Q02878;P84098;P62987;P62945;P61513;URS00000F9D45_9606;P61353;URS0000ABD82A_9606;Q9Y3U8;P18124;P50914;P05386;P32969;URS000075D341_9606;P36578;P46776;P42766;P18621;P26373;P61927;P30050;P40429
prerank,60S cytosolic large ribosomal subunit,0.9816236972024126,2.4034159159746142,0.0,0.0,0.0,47/47,3.09%,P39023;P27635;P62891;P46779;P46777;P46778;P49207;P62424;P61313;P05388;P05387;P18077;Q07020;P47914;P62888;P62899;P62829;P63173;P62750;Q02543;P62910;P62913;P62917;P83731;P62906;Q02878;P84098;P62987;P62945;P61513;URS00000F9D45_9606;P61353;URS0000ABD82A_9606;Q9Y3U8;P18124;P50914;P05386;P32969;URS000075D341_9606;P36578;P46776;P42766;P18621;P26373;P61927;P30050;P40429
prerank,"60S cytosolic large ribosomal subunit, testis-specific variant",0.9816236972024137,2.4030676496269736,0.0,0.0,0.0,47/47,3.09%,Q96L21;Q96EH5;P39023;P46779;P46777;P46778;P49207;P62424;P61313;P05388;P05387;P18077;Q07020;P47914;P62888;P62899;P62829;P63173;P62750;Q02543;P62910;P62913;P62917;P83731;P62906;Q02878;P84098;P62987;P62945;P61513;URS00000F9D45_9606;P61353;URS0000ABD82A_9606;Q9Y3U8;P18124;P50914;P05386;P32969;URS000075D341_9606;P36578;P46776;P42766;P18621;P26373;P61927;P30050;P40429
prerank,UTP-B complex,-0.9419582316246271,-2.390077681771941,0.0,0.00028683918575615324,0.001,6/6,5.98%,Q12788;Q15269;Q8NI36;Q9NYH9;Q9UNX4;Q9Y5J1
prerank,"TIM23 mitochondrial inner membrane pre-sequence translocase complex, TIM17B variant",-0.717462458689831,-2.3496779825505625,0.0,0.0002717423865058294,0.001,11/12,19.55%,P60602;Q3ZCQ8;P38646;O14925;O43615;Q8TAA5;Q96DA6;Q9BVV7;Q9HAV7;Q9Y3D7;Q9Y5T4
prerank,Synaptonemal complex,-0.8410200759631037,-2.330126277811186,0.0,0.0003872329007708069,0.001,7/7,16.08%,Q9BX26;Q15431;Q8IZU3;Q8N0S2;Q9BXU0;A1L190;Q6PIF2
prerank,UTP-A complex,-0.897748847301329,-2.327859204015145,0.0,0.0003687932388293399,0.001,6/6,10.40%,Q15061;Q8IWA0;Q8TED0;Q969X6;Q9H583;Q9H8H0
prerank,"TIM23 mitochondrial inner membrane pre-sequence translocase complex, TIM17A variant",-0.717462458689831,-2.3041247583410134,0.0,0.00035202990979164264,0.001,11/12,19.55%,P60602;Q3ZCQ8;P38646;O14925;O43615;Q8TAA5;Q96DA6;Q9BVV7;Q9HAV7;Q9Y3D7;Q9Y5T4
prerank,Mitochondrial complex I intermediate assembly (MCIA) complex,-0.8958502847843776,-2.2997361040782143,0.0,0.0003367242615398321,0.001,6/6,10.59%,Q9GZY4;Q8IUX1;Q96B77;Q9BQ95;Q9H845;Q9Y375
prerank,General transcription factor TFIIIC complex,-0.8879848114998644,-2.2694993349302197,0.0,0.0003226940839756724,0.001,6/6,11.37%,Q9Y5Q9;Q12789;Q8WUA4;Q969F1;Q9UKN8;Q9Y5Q8
prerank,Membrane attack complex,-0.7508819538670286,-2.2396884008404156,0.0,0.00030978632061664553,0.001,8/8,25.10%,P07358;P02748;P07357;P01031-PRO_0000005985;P01031-PRO_0000005989;P13671;P10643;P07360
prerank,TOM40 mitochondrial outer membrane translocase complex,-0.8195876288659794,-2.237068482267305,0.0,0.0002978714621313899,0.001,7/7,18.22%,Q8N4H5;Q96B49;O96008;O94826;Q9NS69;Q9P0U1;Q15388
prerank,Glycoprotein Ib-IX-V-Filamin-A complex,-0.9601409978308026,-2.213940115605264,0.0,0.0004780653095935888,0.003,5/5,4.14%,P21333;P13224;P14770;P07359;P40197
prerank,Outer dynein arm-docking complex,-0.9354663774403471,-2.1863584470387756,0.0,0.0008297847873660147,0.005,5/5,6.61%,Q9HAE3;A5D8V7;Q5T2S8;Q96M63;Q96NG3
prerank,MICOS mitochondrial contact site and cristae organizing system complex,-0.7745523602821487,-2.1511488304698827,0.0,0.0011572477494299978,0.009,7/7,22.72%,Q5TGZ0;Q16891;Q9NX63;Q6UXV4;Q9BUR5;Q5XKP0;Q9BRQ6
prerank,Commander complex,-0.6195267881425074,-2.145514814488419,0.0,0.0011186728244489978,0.009,16/16,38.34%,Q9UBQ0;Q9Y6G5;Q9NX08;Q9H0A8;O14972;Q9UBI1;Q7Z4G1;Q9P000;Q86VX2;Q8N668;Q86X83;Q9GZQ3;O60826;Q567U6;Q7Z3J2;Q8TCE6
prerank,Tubulin polyglutamylase complex,-0.9010303687635575,-2.1394877359264166,0.0,0.001165862496944365,0.009,5/5,10.05%,Q6ZTW0;Q8IUZ0;Q9BSH3;O95922;Q68CL5
prerank,XRCC1 DNA repair complex,-0.8130765056972328,-2.1346627570151266,0.0,0.0011294292939148535,0.009,7/7,18.87%,Q7Z2E3;Q9NUW8;P06746;P18887;P49916;Q8IW19;Q96T60
prerank,"Vacuolar proton translocating ATPase complex, ATP6V0A3 variant",-0.6261200108607113,-2.100856549255261,0.0,0.0014081196391665706,0.012,10/10,37.58%,Q6P5S7;Q99437;O75787;P27449;Q15904;Q16864;Q9UI12;Q9Y5K8;P38606;Q13488
prerank,Glycoprotein Ib-IX-V complex,-0.9598807264841419,-2.097503108131515,0.0,0.0013667043556616714,0.012,4/4,4.14%,P13224;P14770;P07359;P40197
prerank,Elongator holoenzyme complex,-0.8231624627068077,-2.0957768673839725,0.0,0.0014014143075514916,0.013,6/6,17.84%,Q9H9T3;Q6IA86;O95163;Q0PNE2;Q8TE02;Q96EB1
prerank,Multiaminoacyl-tRNA synthetase complex,0.9722976643128737,2.090103727774904,0.0,0.0,0.0,11/11,3.06%,P54136;Q13155;Q9P2J5;Q12904;O43324;P56192;P14868;P47897;P41252;Q15046;P07814
prerank,Mitochondrial respiratory chain complex I,0.8523600439077932,2.082088044391654,0.0,0.0,0.0,49/49,15.89%,P28331;Q9P0J0;P03901;Q9Y6M9;P51970;P19404;P17568;O75306;O75251;O43920;O95167;O95139;O75489;Q9UI09;O75380;CHEBI:58210;O00217;P03891;P03905;P49821;P03915;P03923;O15239;Q86Y39;CHEBI:64607;CHEBI:30408;O43181;Q16718;P56556;O95178;O75438;O43674;O43676;O95298;O95299;O43678;O43677;P56181;O96000;P03886;P03897;Q9NX14;Q16795;O95182;O95168;O95169;O14561;CHEBI:49601;CHEBI:16238
prerank,FERRY RAB5 effector complex,-0.9015726681127982,-2.076679861695838,0.0,0.0017210351145369195,0.015,5/5,9.99%,Q6ZMI0;O95825;Q8NB37;Q8TEA7;Q9NQ89
prerank,"Endoplasmic reticulum membrane complex, EMC8 variant",-0.7105677815842891,-2.0747117757293174,0.0,0.0016745206519818677,0.015,8/9,16.95%,Q8N766;Q8N4V1;Q5UCC4;Q5J8M3;Q15006;Q9BV81;Q9NPA0;Q9P0I2
prerank,NELF negative elongation factor complex ,-0.942260775277853,-2.070842414553043,0.0,0.0017663255122878914,0.016,4/4,5.90%,P18615;Q8IXH7;Q8WX92;Q9H3P2
prerank,Ribosome quality control complex,-0.9531038221740308,-2.0636141632537415,0.0,0.0017210351145369198,0.016,4/4,4.82%,CPX-137;O60524;O94822;Q9BQ70
prerank,Complement C1 complex,-0.8739154013015185,-2.0588433931945715,0.0,0.001742548053468631,0.017,5/5,12.75%,P09871-PRO_0000027587;P09871-PRO_0000027588;P00736-PRO_0000027579;CPX-1919;P00736-PRO_0000027578
prerank,"Endoplasmic reticulum membrane complex, EMC9 variant",-0.7105677815842891,-2.0542540614782734,0.0,0.0017630115807451372,0.018,8/9,16.95%,Q8N766;Q8N4V1;Q5UCC4;Q5J8M3;Q15006;Q9BV81;Q9NPA0;Q9P0I2
prerank,Vault ribonucleoprotein complex,-0.7289744981009224,-2.0438829061726036,0.0,0.0019668972737564793,0.022,7/7,27.27%,URS00005CCF67_9606;URS0000A76E3A_9606;Q99973;URS000058CD99_9606;Q14764;Q9UKK3;URS0000000A8C_9606
prerank,"TREX transcription-export complex, DX39B variant",0.8920953118244784,2.0369483253869722,0.0,0.0,0.0,15/16,5.71%,Q13838;P84090;Q9BY77;Q96J01;Q6I9Y2;Q8NI27;Q13769;P82979;Q86W42;Q96FV9;Q9Y3Y2;Q96QD9;O75152;Q9P127;Q53F19
prerank,"TREX transcription-export complex, DX39A variant",0.8920953118244784,2.0351753940860005,0.0,0.0,0.0,15/16,5.71%,O00148;P84090;Q9BY77;Q96J01;Q6I9Y2;Q8NI27;Q13769;P82979;Q86W42;Q96FV9;Q9Y3Y2;Q96QD9;O75152;Q9P127;Q53F19
prerank,19S-20S-PA28-alphabeta hybrid proteasome complex,0.8394264370417837,2.0294102576366133,0.0,0.0,0.0,34/35,14.41%,Q9UL46;Q06323;P51665;P62191;P62195;O00231;P55036;P43686;P62333;Q99460;P48556;P35998;Q16186;Q9UNM6;O43242;O00487;P17980;Q15008;Q13200;O00232;Q99436;P28074;P28072;O14818;P25789;P20618;P28070;P28066;P49720;P60900;P49721;P25788;P25786;P25787
prerank,USH2 complex,-0.9441583084846841,-2.023384584197636,0.0,0.0022813721285721957,0.024,4/4,5.71%,O75445;Q8WXG9;Q9H5P4;Q9P202
prerank,"Vacuolar proton translocating ATPase complex, ATP6V0A1 variant",-0.6250339397230519,-2.022960566909112,0.0,0.0022295227620137367,0.024,10/10,37.69%,Q6P5S7;Q99437;O75787;P27449;Q15904;Q16864;Q9UI12;Q9Y5K8;P38606;Q93050
prerank,19S-20S-PA28-gamma hybrid proteasome complex,0.838468377862341,2.020811286574241,0.0,0.0,0.0,33/34,14.41%,P61289;P51665;P62191;P62195;O00231;P55036;P43686;P62333;Q99460;P48556;P35998;Q16186;Q9UNM6;O43242;O00487;P17980;Q15008;Q13200;O00232;Q99436;P28074;P28072;O14818;P25789;P20618;P28070;P28066;P49720;P60900;P49721;P25788;P25786;P25787
prerank,"Vacuolar proton translocating ATPase complex, ATP6V0A2 variant",-0.6277491175672006,-2.0161740748048778,0.0,0.002466816997502918,0.028,10/10,37.42%,Q6P5S7;Q99437;O75787;P27449;Q15904;Q16864;Q9UI12;Q9Y5K8;P38606;Q9Y487
prerank,30S proteasome complex,0.8374662939453913,2.0146369277425538,0.0,0.0,0.0,32/33,14.41%,P51665;P62191;P62195;O00231;P55036;P43686;P62333;Q99460;P48556;P35998;Q16186;Q9UNM6;O43242;O00487;P17980;Q15008;Q13200;O00232;Q99436;P28074;P28072;O14818;P25789;P20618;P28070;P28066;P49720;P60900;P49721;P25788;P25786;P25787
prerank,26S proteasome complex,0.8374662939453913,2.0146369277425538,0.0,0.0,0.0,32/33,14.41%,P51665;P62191;P62195;O00231;P55036;P43686;P62333;Q99460;P48556;P35998;Q16186;Q9UNM6;O43242;O00487;P17980;Q15008;Q13200;O00232;Q99436;P28074;P28072;O14818;P25789;P20618;P28070;P28066;P49720;P60900;P49721;P25788;P25786;P25787
prerank,GPI-anchor transamidase complex,-0.8554772234273319,-2.0139799298011765,0.0,0.0024693112512921022,0.029,5/5,14.60%,Q96S52;O43292;Q92643;Q9H490;Q969N2
prerank,"GID E3 ubiquitin ligase complex, RMND5A-RANBP9 variant",-0.6392508143322476,-2.0021919114137114,0.0,0.0029111125873550023,0.034,9/9,36.26%,Q9UL63;P62699;Q7L5Y9;Q8IUR7;Q8IVV7;Q9H7D7;Q9NWU2;Q96S59;Q9H871
prerank,Integrator core complex,0.8972267536704732,1.9941540907912199,0.0,0.0,0.0,15/15,10.64%,Q9NVH2;Q96CB8;Q8N201;Q9NV88;Q75QN2;Q96SY0;Q96HW7;Q6P9B9;Q5TA45;Q9UL03;Q96N11;Q9NVM9;Q9NVR2;Q9H0H0;Q68E01
prerank,"Amiloride-sensitive sodium channel complex, delta-alpha-beta-gamma",-0.919761452968284,-1.9850007224745991,0.0,0.003710981965720233,0.046,4/4,8.15%,P37088;P51168;P51170;P51172
prerank,"GID E3 ubiquitin ligase complex, RMND5B-RANBP9 variant",-0.6387079261672096,-1.979264784663973,0.0,0.0037933018851017816,0.046,9/9,36.31%,Q9UL63;P62699;Q7L5Y9;Q8IUR7;Q8IVV7;Q9H7D7;Q9NWU2;Q96S59;Q96G75
prerank,"Vacuolar proton translocating ATPase complex, ATP6V0A4 variant",-0.6255769752918816,-1.9762418151443257,0.0,0.003769066900835854,0.047,10/10,37.64%,Q6P5S7;Q99437;O75787;P27449;Q15904;Q16864;Q9UI12;Q9Y5K8;P38606;Q9HBG4
prerank,"GID E3 ubiquitin ligase complex, RMND5B-RANBP10 variant",-0.6384364820846906,-1.9693831847663827,0.0,0.00435320646618162,0.055,9/9,36.34%,Q9UL63;P62699;Q7L5Y9;Q8IUR7;Q8IVV7;Q9H7D7;Q9NWU2;Q96G75;Q6VN20
prerank,"GID E3 ubiquitin ligase complex, RMND5A-RANBP10 variant",-0.6384364820846906,-1.9624750890864429,0.0,0.004617007663036544,0.058,9/9,36.34%,Q9UL63;P62699;Q7L5Y9;Q8IUR7;Q8IVV7;Q9H7D7;Q9NWU2;Q9H871;Q6VN20
prerank,PA28-alphabeta single-capped 20S proteasome complex,0.8596682077780802,1.9387141757558701,0.0,0.0,0.0,16/16,14.41%,Q9UL46;Q06323;Q99436;P28074;P28072;O14818;P25789;P20618;P28070;P28066;P49720;P60900;P49721;P25788;P25786;P25787
prerank,PA28-alphabeta double-capped 20S proteasome complex,0.8596682077780802,1.9387141757558701,0.0,0.0,0.0,16/16,14.41%,Q9UL46;Q06323;Q99436;P28074;P28072;O14818;P25789;P20618;P28070;P28066;P49720;P60900;P49721;P25788;P25786;P25787
prerank,PA28-gamma double-capped 20S proteasome complex,0.8594344752582925,1.9268035147279945,0.0,0.0,0.0,15/15,14.41%,P61289;Q99436;P28074;P28072;O14818;P25789;P20618;P28070;P28066;P49720;P60900;P49721;P25788;P25786;P25787
prerank,PA28-gamma single-capped 20S proteasome complex,0.8594344752582925,1.9268035147279945,0.0,0.0,0.0,15/15,14.41%,P61289;Q99436;P28074;P28072;O14818;P25789;P20618;P28070;P28066;P49720;P60900;P49721;P25788;P25786;P25787
prerank,Nuclear origin recognition complex,-0.7556278817466775,-1.9246062900731287,0.0,0.007111446982709159,0.09,6/6,24.59%,Q9Y5N6;O43913;O43929;Q13415;Q13416;Q9UBD5
prerank,Nexin-dynein regulatory complex,0.9005975013579575,1.9240692640369634,0.0,0.0,0.0,11/11,10.21%,Q9H069;O95995;Q9H095;Q5JU00;Q8IY82;Q8IXS2;Q5VUJ9;Q86XH1;Q96DY2;Q96MC2;Q8NEE6
prerank,PA200-20S single-capped proteasome,0.8594344752582926,1.918287481825717,0.0,0.0,0.0,15/15,14.41%,Q14997;Q99436;P28074;P28072;O14818;P25789;P20618;P28070;P28066;P49720;P60900;P49721;P25788;P25786;P25787
prerank,PA200-20S-PA200 double-capped proteasome complex,0.8594344752582926,1.918287481825717,0.0,0.0,0.0,15/15,14.41%,Q14997;Q99436;P28074;P28072;O14818;P25789;P20618;P28070;P28066;P49720;P60900;P49721;P25788;P25786;P25787
prerank,20S proteasome complex,0.8592008698015768,1.9045998191562565,0.0,0.0,0.0,14/14,14.41%,Q99436;P28074;P28072;O14818;P25789;P20618;P28070;P28066;P49720;P60900;P49721;P25788;P25786;P25787
prerank,Mitochondrial respiratory chain complex III,0.8770309338598523,1.9029454392182235,0.0,0.0,0.0,11/12,5.28%,P14927;P47985-PRO_0000030664;Q9UDW1;P31930;O14949;P07919;P08574;O14957;P22695;P00156;P47985-PRO_0000307241
prerank,20S spermatoproteasome complex,0.8592008698015767,1.902817661211406,0.0,0.0,0.0,14/14,14.41%,Q8TAA3;Q99436;P28074;P28072;P25789;P20618;P28070;P28066;P49720;P60900;P49721;P25788;P25786;P25787
prerank,20S thymoproteasome complex,0.8592008698015768,1.9003192087788532,0.0,0.0,0.0,14/14,14.41%,A5LHX3;P40306;P28065;O14818;P25789;P20618;P28070;P28066;P49720;P60900;P49721;P25788;P25786;P25787
prerank,COG tethering complex,-0.6564450474898237,-1.895369976801234,0.0,0.009800338846668569,0.12,8/8,34.52%,Q9Y2V7;Q14746;Q8WTW3;Q96JB2;Q96MW5;Q9H9E3;Q9UP83;P83436
prerank,LDLR-PCSK9 complex,-0.9761517615176152,-1.8936876396218854,0.0,0.00976296283155489,0.121,3/3,2.49%,P01130;Q8NBP7-PRO_0000027120;Q8NBP7-PRO_0000027121
prerank,20S immunoproteasome complex,0.8592008698015768,1.8910286306642474,0.0,0.0,0.0,14/14,14.41%,P28062;P40306;P28065;O14818;P25789;P20618;P28070;P28066;P49720;P60900;P49721;P25788;P25786;P25787
prerank,19S proteasome regulatory complex,0.8206530285254592,1.889475087601697,0.0,0.0,0.0,18/19,13.84%,P51665;P62191;P62195;O00231;P55036;P43686;P62333;Q99460;P48556;P35998;Q16186;Q9UNM6;O43242;O00487;P17980;Q15008;Q13200;O00232
prerank,Kinetochore MIS12 complex,-0.8500948766603414,-1.8794358167466516,0.0,0.01157088786827054,0.147,4/4,15.11%,Q6P1K2;Q96IY1;Q9H081;Q9H410
prerank,"Exocyst, EXOC6 variant",-0.6312075983717775,-1.8722670507267158,0.0,0.012545440177019125,0.164,8/8,37.04%,Q96KP1;Q9NV70;Q9UPT5;O00471;O60645;Q8IYI6;Q96A65;Q8TAG9
prerank,Integrator-PP2A complex,0.8237214363438519,1.8647303223873994,0.0,2.482240063186332e-05,0.001,17/17,18.01%,Q9NVH2;Q96CB8;Q8N201;Q9NV88;Q75QN2;Q96SY0;Q96HW7;Q6P9B9;Q5TA45;Q9UL03;Q96N11;Q9NVM9;Q9NVR2;Q9H0H0;Q68E01;P67775;P30153
prerank,"Dystrophin glycoprotein complex, skeletal muscle variant",-0.5328625746876697,-1.8587759742310368,0.022222222222222223,0.01504422074258997,0.199,11/11,46.90%,Q13424;Q14118-PRO_0000021065;Q14118-PRO_0000021066;Q16586;Q14714;Q16585;Q13326;Q13884;Q92629;P11532-1;Q9Y4J8-3
prerank,PeBoW complex,-0.959349593495935,-1.8543460569715131,0.0,0.015620581420924075,0.21,3/3,4.17%,Q14137;O00541;Q9GZL7
prerank,BAT3 complex,-0.9623306233062331,-1.8501179230312408,0.0,0.01639285946596416,0.224,3/3,3.87%,P46379;Q7L5D6;P11441
prerank,"TRAPP III complex, TRAPPC2 variant",-0.5802335052945968,-1.8497027697935722,0.0,0.01625108567169288,0.225,10/10,42.16%,O43617;Q9UL33;Q9Y296;Q9Y5R8;Q8IUR0;P0DI81;O75865;Q9Y2L5;Q7Z392;Q8WVT3
prerank,KICSTOR complex,-0.8473841149362971,-1.8484408606548706,0.004807692307692308,0.01636371290354055,0.231,4/4,15.38%,Q9Y664;Q5T011;Q969R8;Q96MD2
prerank,"TRAPP II complex, TRAPPC2B variant",-0.5832202009231604,-1.8388661750293969,0.0,0.01786598356995469,0.252,10/10,41.86%,O43617;Q9UL33;Q9Y296;Q9Y5R8;Q8IUR0;P0DI82;Q96Q05;P48553;Q86SZ2;A5PLN9
prerank,NPHP transition zone complex,-0.9577235772357724,-1.8387804726445782,0.0,0.017667501097668063,0.253,3/3,4.33%,O15259;O75161;Q68CZ1
prerank,"Non-canonical polycomb repressive complex 1.6, RING2-YAF2 variant",0.9639273121779224,1.8347347323559184,0.0,2.390305246031283e-05,0.001,6/6,3.76%,Q9BYE7;Q969R5;CPX-2552;CPX-2551;Q8IY57;Q99496
prerank,"Non-canonical polycomb repressive complex 1.6, RING1-YAF2 variant",0.9641985353946297,1.8340570564170673,0.0,2.3049372015301654e-05,0.001,6/6,3.74%,Q9BYE7;Q969R5;CPX-2552;CPX-2551;Q8IY57;Q06587
prerank,SMG1C protein kinase complex,-0.943089430894309,-1.8321686928019851,0.0,0.018904908796605547,0.266,3/3,5.79%,Q8ND04;Q96Q15;Q9H0W8
prerank,"Non-canonical polycomb repressive complex 1.6, RING2-RYBP variant",0.9639273121779225,1.8316818075185037,0.0,2.2254566083739533e-05,0.001,6/6,3.76%,Q9BYE7;Q969R5;CPX-2552;CPX-2551;Q8N488;Q99496
prerank,"Non-canonical polycomb repressive complex 1.6, RING1-RYBP variant",0.9641985353946299,1.8236981103319765,0.0,2.1512747214281548e-05,0.001,6/6,3.74%,Q9BYE7;Q969R5;CPX-2552;CPX-2551;Q8N488;Q06587
prerank,Rixosome RNA degradation complex,-0.6494845360824743,-1.8227637105388992,0.009708737864077669,0.02053507807117915,0.285,7/7,35.20%,Q9H4L4;Q5SY16;Q8IZL8;Q9BV38;Q9NU22;Q9NXF1;Q9Y4W2
prerank,"SMC5-SMC6 SUMO ligase complex, NSE4EA variant",-0.6314789687924017,-1.8222717090153124,0.0,0.02030564564240948,0.286,8/8,37.02%,Q8IX21;Q8IY18;Q8WV22;Q96MF7;Q96MG7;Q96SB8;Q9BQI6;Q9NXX6
prerank,Eukaryotic translation initiation factor 2 complex,-0.9495934959349593,-1.8214244030690279,0.00392156862745098,0.02031074528552762,0.293,3/3,5.14%,P05198;P20042;P41091
prerank,"Exocyst, EXOC6B variant",-0.6306648575305293,-1.8188781229053816,0.0,0.020689835181280796,0.301,8/8,37.10%,Q96KP1;Q9NV70;Q9UPT5;O00471;O60645;Q8IYI6;Q96A65;Q9Y2D4
prerank,"TRAPP II complex, TRAPPC2 variant",-0.5832202009231604,-1.8138315541958818,0.0,0.02172192176704812,0.318,10/10,41.86%,O43617;Q9UL33;Q9Y296;Q9Y5R8;Q8IUR0;P0DI81;Q96Q05;P48553;Q86SZ2;A5PLN9
prerank,"Dystrophin glycoprotein complex, retinal outer plexiform layer variant",-0.5331341662140141,-1.8093127957885038,0.0,0.02250677611052859,0.331,11/11,46.87%,Q13424;Q14118-PRO_0000021065;Q14118-PRO_0000021066;Q16586;Q14714;Q16585;Q13326;Q13884;Q92629;O60941;P11532-2
prerank,Mitochondrial respiratory chain complex IV,0.8009921068936233,1.8067768016471224,0.0,2.0818787626724078e-05,0.001,15/16,14.89%,P20674;P14854;P12074;P00395;O00483;P09669;P00414;P00403;P10176;P13073;P24311;P15954;CHEBI:23378;P14406;P10606
